,Id,POITypeId,POIName_de,address_city,address_kantoncode,address_zip,address_countrycode,address_street,address_gemeindeid,geopoint,poityp_de
17829,003BE_00325052,003BE,"Briefeinwurf Zürich, BE Bushaltestelle Glaubtenstrasse",Zürich,ZH,8046,CH,Wehntalerstrasse 374,261,"47.41407433,8.52014398",Briefeinwurf
18493,003BE_00324763,003BE,"Briefeinwurf Zürich, Bleicherweg",Zürich,ZH,8002,CH,Bleicherweg 19,261,"47.36781255,8.53569237",Briefeinwurf
18494,003BE_00324764,003BE,"Briefeinwurf Zürich, Badenerstrasse",Zürich,ZH,8048,CH,Badenerstrasse 651A,261,"47.38706693,8.48910131",Briefeinwurf
18656,003BE_00329115,003BE,"Briefeinwurf Zürich, Brunngasse",Zürich,ZH,8001,CH,Brunngasse 14,261,"47.37333376,8.54484591",Briefeinwurf
18657,003BE_00329121,003BE,"Briefeinwurf Zürich, Bushaltestelle Brunau / Mutschellenstrasse",Zürich,ZH,8002,CH,Waffenplatzstrasse 88,261,"47.35507461,8.52692701",Briefeinwurf
18660,003BE_00329129,003BE,"Briefeinwurf Zürich, Bellariastrasse",Zürich,ZH,8038,CH,Bellariastrasse 85,261,"47.3466443,8.52902349",Briefeinwurf
18662,003BE_00329136,003BE,"Briefeinwurf Zürich, Tramhaltestelle Bahnhof Wollishofen",Zürich,ZH,8038,CH,Seestrasse 336,261,"47.34690362,8.53280073",Briefeinwurf
18664,003BE_00329141,003BE,"Briefeinwurf Zürich, Leimbachstrasse",Zürich,ZH,8041,CH,Leimbachstrasse 200,261,"47.32605409,8.51436107",Briefeinwurf
18690,003BE_00329146,003BE,"Briefeinwurf Zürich, Morgentalstrasse",Zürich,ZH,8038,CH,Morgentalstrasse 41,261,"47.34436018,8.52656818",Briefeinwurf
18691,003BE_00329147,003BE,"Briefeinwurf Zürich, Besenrainstrasse",Zürich,ZH,8038,CH,Besenrainstrasse 23,261,"47.34574469,8.52779414",Briefeinwurf
18692,003BE_00329154,003BE,"Briefeinwurf Zürich, Nidelbadstrasse",Zürich,ZH,8038,CH,Nidelbadstrasse 79,261,"47.33305557,8.53505988",Briefeinwurf
18693,003BE_00329160,003BE,"Briefeinwurf Zürich, Seestrasse",Zürich,ZH,8038,CH,Seestrasse 241,261,"47.35210667,8.53211328",Briefeinwurf
18694,003BE_00329162,003BE,"Briefeinwurf Zürich, Tram-/Bushaltestelle Bahnhof Enge",Zürich,ZH,8002,CH,Seestrasse 25,261,"47.36377104,8.53160839",Briefeinwurf
18695,003BE_00329163,003BE,"Briefeinwurf Zürich, Enge Hafen, Schiffstation",Zürich,ZH,8002,CH,Mythenquai 21,261,"47.36118647,8.53562095",Briefeinwurf
