,title,author,name,timeRange,update_Interval,Raum,metadatacreated,license
0,"Daten der Verkehrszählung zum motorisierten Individualverkehr (Stundenwerte), seit 2012","Dienstabteilung Verkehr, Sicherheitsdepartement",sid_dav_verkehrszaehlung_miv_od2031,2012 - vorgestern,['taeglich'],Stadt Zürich,"['2020-03-11', '12:06:00.811855']",cc-zero
1,Daten der automatischen Fussgänger- und Velozählung - Viertelstundenwerte,"Tiefbauamt, Abteilung Verkehr + Stadtraum, Tiefbau- und Entsorgungsdepartement",ted_taz_verkehrszaehlungen_werte_fussgaenger_velo,laufende Nachführung seit 2009,['taeglich'],Stadt Zürich,"['2020-03-16', '12:37:39.927543']",cc-zero
2,"Abstimmungsparolen der Parteien im Gemeinderat für Gemeindeabstimmungen, seit 2012","Stadtkanzlei, Allgemeine Verwaltung",politik_abstimmungsparolen_gemeindeabstimmung_seit2012,2012-heute,['quartalsweise'],Stadt Zürich,"['2021-03-16', '12:33:54.277511']",cc-zero
3,Stimmbeteiligung in Prozent vor Urnengängen,"Stadtkanzlei, Allgemeine Verwaltung",politik_stimmbeteiligung-vor-urnengangen,2021-heute,['quartalsweise'],Stadt Zürich,"['2021-09-21', '11:51:40.371218']",cc-zero
4,"Ferien und schulfreie Tage der Volksschule der Stadt Zürich, Schuljahre 2020/2021 bis 2024/2025","Schulpflege (ZSP), Stadt Zürich",ssd_schulferien,August 2020 - Juli 2025,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2021-07-12', '15:43:24.895434']",cc-zero
5,"Viertelstundenwerte zum Bruttolastgang elektrische Energie der Stadt Zürich, seit 2019","Elektrizitätswerk der Stadt Zürich, Departement der Industriellen Betriebe",ewz_bruttolastgang_stadt_zuerich,ab 01.01.2019,['taeglich'],Stadt Zürich,"['2020-04-29', '12:20:06.601621']",cc-zero
6,Fahrgastfrequenzen an der VBZ-Haltestelle Hardbrücke,"Verkehrsbetriebe Zürich, Departement der Industriellen Betriebe",vbz_frequenzen_hardbruecke,01.01.2020 - gestern,['laufend'],Stadt Zürich,"['2020-03-27', '14:23:46.471679']",cc-zero
7,"Stündlich aktualisierte Luftqualitätsmessungen, seit 1983","Messung Luftqualität, Umwelt- und Gesundheitsschutz, Gesundheits- und Umweltdepartement",ugz_luftschadstoffmessung_stundenwerte,Januar 1983 bis zur letzten vollendeten Stunde,['stuendlich'],Stadt Zürich,"['2020-10-21', '12:35:49.996017']",cc-zero
8,"Stündlich aktualisierte Meteodaten, seit 1992","Messung Luftqualität, Umwelt- und Gesundheitsschutz, Gesundheits- und Umweltdepartement",ugz_meteodaten_stundenmittelwerte,Stundenmittelwerte seit Januar 1992,['stuendlich'],Stadt Zürich,"['2020-10-21', '12:48:26.123926']",cc-zero
9,Spital,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_spital,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '08:56:24.233867']",cc-zero
10,Anlauf- und Beratungsstelle,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_anlauf__und_beratungsstelle,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '08:59:29.988291']",cc-zero
11,Spitalnotaufnahme,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_spitalnotaufnahme,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '08:57:55.460083']",cc-zero
12,Park,"Informatik, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_park,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '08:56:57.249295']",cc-zero
13,ERZ Kehrichtcontainer im öffentlichen Raum,"Entsorgungslogistik, ERZ Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",geo_erz_kehrichtcontainer_im_oeffentlichen_raum,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '08:58:47.865590']",cc-zero
14,Suchtbehandlung,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_suchtbehandlung,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '09:01:49.980089']",cc-zero
15,Züri wie neu,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_zueri_wie_neu,Laufende Nachführung,['taeglich'],Stadt Zürich,"['2019-11-18', '09:01:58.226107']",cc-zero
16,Nutzungsplanung - kommunale Bau- und Zonenordnung (BZO),"Raumentwicklung & Architektur, Amt für Städtebau, Hochbaudepartement",geo_nutzungsplanung___kommunale_bau__und_zonenordnung__bzo_,Laufende Nachführung,['taeglich'],Stadt Zürich,"['2019-11-18', '09:01:35.328142']",cc-zero
17,Sammelstelle,"Entsorgungslogistik, ERZ Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",geo_sammelstelle,Laufende Nachführung,['woechentlich'],Stadt Zürich,"['2019-11-18', '09:03:37.433146']",cc-zero
18,Weiterbildung,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_weiterbildung,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '09:07:51.997488']",cc-zero
19,Departement,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_departement,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '09:06:34.349189']",cc-zero
20,Amtshaus,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_amtshaus,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '09:09:59.363712']",cc-zero
21,Bauernhofladen,"Landwirtschaft, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_bauernhofladen,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:04:44.948003']",cc-zero
22,Schulanlagen,"Infrastruktur, Schulamt, Schul- und Sportdepartement",geo_schulanlagen,Laufende Nachführung,['woechentlich'],Stadt Zürich,"['2019-11-18', '09:09:49.427320']",cc-zero
23,Dienstleistungen,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_dienstleistungen,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '09:10:51.906769']",cc-zero
24,Gericht,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_gericht,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '09:16:34.969179']",cc-zero
25,Züri WC,"Strassenlärmsanierung und NIS, Umwelt- und Gesundheitsschutz, Gesundheits- und Umweltdepartement",geo_zueri_wc,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:15:54.439684']",cc-zero
26,Auszeichnung für gute Bauten,"Kompetenzzentren, Amt für Städtebau, Hochbaudepartement",geo_auszeichnung_fuer_gute_bauten,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:18:12.499572']",cc-zero
27,Stimmlokale,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_stimmlokale,Laufende Nachführung,['taeglich'],Stadt Zürich,"['2019-11-18', '09:17:51.786821']",cc-zero
28,"Geschäftsberichte des Stadtrats, ab 1859","Stadtarchiv Zürich, Präsidialdepartement",sar_geschaeftsberichte,1859-heute,['jaehrlich'],Stadt Zürich,"['2020-09-16', '14:33:25.462772']",cc-zero
29,Stadtkreise,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_stadtkreise,Laufende Nachführung,['vierzehntaeglich'],Stadt Zürich,"['2019-11-18', '08:56:30.144785']",cc-zero
30,Statistische Quartiere,"Datenmanagement, Statistik Stadt Zürich, Präsidialdepartement",geo_statistische_quartiere,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '08:57:10.471998']",cc-zero
31,Brunnen,"GIS, Wasserversorgung, Departement der Industriellen Betriebe",geo_brunnen,Laufende Nachführung,['taeglich'],Stadt Zürich,"['2019-11-18', '09:00:07.068924']",cc-zero
32,Aktuelle Tiefbauprojekte im öffentlichen Grund,"Baukoordination, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_aktuelle_tiefbauprojekte_im_oeffentlichen_grund,Laufende Nachführung,['monatlich'],Stadt Zürich,"['2019-11-18', '08:57:42.727993']",cc-zero
33,Statistische Zonen,"Datenmanagement, Statistik Stadt Zürich, Präsidialdepartement",geo_statistische_zonen,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:02:07.345883']",cc-zero
34,Adressen Stadt Zürich,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_adressen_stadt_zuerich,Laufende Nachführung,['taeglich'],Stadt Zürich,"['2019-11-18', '09:01:42.713553']",cc-zero
35,Stimmkreise,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_stimmkreise,Laufende Nachführung,['vierzehntaeglich'],Stadt Zürich,"['2019-11-18', '09:02:31.841485']",cc-zero
36,Kreisarchitekteneinteilung,"Baubewilligungen Abteilung 2, Amt für Baubewilligungen, Hochbaudepartement",geo_kreisarchitekteneinteilung,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:07:02.015846']",cc-zero
37,Quartiere (basierend auf Vermessungsbezirken),"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_quartiere__basierend_auf_vermessungsbezirken_,Laufende Nachführung,['vierzehntaeglich'],Stadt Zürich,"['2019-11-18', '09:13:42.263036']",cc-zero
38,Standorte ZüriVelo,"Grundlagen + Strategien, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_standorte_zuerivelo,Laufende Nachführung,['laufend'],Stadt Zürich,"['2019-11-18', '09:14:20.901564']",cc-zero
39,Gebietsnamen,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_gebietsnamen,Laufende Nachführung,['vierzehntaeglich'],Stadt Zürich,"['2019-11-18', '09:14:12.636736']",cc-zero
40,Schulkreise,"Infrastruktur, Schulamt, Schul- und Sportdepartement",geo_schulkreise,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:11:26.361097']",cc-zero
41,Strassennamenverzeichnis,"Kataster, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_strassennamenverzeichnis,Laufende Nachführung,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2019-11-18', '09:14:54.550034']",cc-zero
42,Hydranten,"GIS, Wasserversorgung, Departement der Industriellen Betriebe",geo_hydranten,Laufende Nachführung,['taeglich'],Stadt Zürich,"['2019-11-18', '09:19:14.041573']",cc-zero
43,Ökomorphologische Erhebung der Fliessgewässer (OGD) (kantonaler Datensatz),"Abteilung Gewässerschutz, Amt für Abfall, Wasser, Energie und Luft, Kanton Zürich",ktzh_oekomorphologische_erhebung_der_fliessgewaesser__ogd_,14.11.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-10-28', '03:02:10.147699']",cc-zero
44,ZVV Fahrplan Tram und Bus (Static GTFS),Zürcher Verkehrsverbund (ZVV),vbz_fahrplandaten_gtfs,7.12.2020 - 8.12.2021,['woechentlich'],ZVV-Tarifgebiet,"['2019-07-29', '15:01:38.814480']",cc-zero
45,Liegenschafteninventar OGD,"Immobiliengeschäfte, Liegenschaften, Finanzdepartement",geo_liegenschafteninventar_ogd,Laufende Nachführung,['woechentlich'],Schweiz,"['2019-11-18', '09:17:38.975628']",cc-zero
46,Standorte der automatischen Fuss- und Velozählungen,"Stab, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_standorte_der_automatischen_fuss__und_velozaehlungen,Laufende Nachführung,['woechentlich'],Stadt Zürich,"['2020-03-17', '03:01:28.773274']",cc-zero
47,Öffentliche Planauflagen von Strassenbauprojekten gemäss § 13 StrG und § 16 und § 17 StrG,"Kommunikation, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_oeffentliche_planauflagen_von_strassenbauprojekten_gemaess___13_strg_und___16_und___17_strg,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2020-11-11', '03:03:04.377696']",cc-zero
48,"Zuzüge von auswärts nach Monat, Stadtquartier, Geschlecht, Altersgruppe und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_monat_zuz_quartier_geschl_ag_herkunft_od3530,1998 – 2021,['monatlich'],Stadt Zürich,"['2020-05-11', '18:46:29.179112']",cc-zero
49,"Wegzüge nach auswärts nach Tag, Stadtquartier, Geschlecht, Altersgruppe und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_tag_wegz_quartier_geschl_ag_herkunft_od3541,1.1998 –  9.2021,['monatlich'],Stadt Zürich,"['2020-05-14', '06:51:01.550428']",cc-zero
50,"Todesfälle nach Monat, Stadtquartier, Geschlecht, Altersgruppe und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_monat_todesfaelle_quartier_geschl_ag_herkunft_od4210,1998 – 2021,['monatlich'],Stadt Zürich,"['2020-05-11', '18:46:35.029303']",cc-zero
51,"Zuzüge von auswärts nach Tag, Stadtquartier, Geschlecht, Altersgruppe und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_tag_zuz_quartier_geschl_ag_herkunft_od3531,1.1998 –  9.2021,['monatlich'],Stadt Zürich,"['2020-05-14', '06:51:10.431633']",cc-zero
52,"Geburten nach Tag, Stadtquartier, Geschlecht und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_tag_geburten_quartier_geschl_ag_herkunft_od4031,1.1998 –  9.2021,['monatlich'],Stadt Zürich,"['2020-05-14', '06:51:15.638725']",cc-zero
53,"Wegzüge nach auswärts nach Monat, Stadtquartier, Geschlecht, Altersgruppe und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_monat_wegz_quartier_geschl_ag_herkunft_od3540,1998 – 2021,['monatlich'],Stadt Zürich,"['2020-05-11', '18:46:38.760156']",cc-zero
54,"Todesfälle nach Tag, Stadtquartier, Geschlecht, Altersgruppe und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_tag_todesfaelle_quartier_geschl_ag_herkunft_od4211,1.1998 –  9.2021,['monatlich'],Stadt Zürich,"['2020-05-14', '06:51:18.971825']",cc-zero
55,"Geburten nach Monat, Stadtquartier, Geschlecht und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_monat_geburten_quartier_geschl_ag_herkunft_od4030,1998 – 2021,['monatlich'],Stadt Zürich,"['2020-05-11', '18:46:41.556881']",cc-zero
56,"Bevölkerung nach Monat, Stadtquartier, Geschlecht, Altersgruppe und Herkunft, seit 1998","Bevölkerungsamt, Präsidialdepartement",bev_monat_bestand_quartier_geschl_ag_herkunft_od3250,1.1998 –  9.2021,['monatlich'],Stadt Zürich,"['2020-05-11', '18:46:46.410748']",cc-zero
57,Inventar der Natur- und Landschaftsschutzobjekte von kommunaler Bedeutung,"Naturschutz, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_inventar_der_natur__und_landschaftsschutzobjekte_von_kommunaler_bedeutung,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '08:57:49.450428']",cc-zero
58,Baumkataster,"Produkteverantw.  & Unterstützungsfunk., Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_baumkataster,Laufende Nachführung,['woechentlich'],Stadt Zürich und angrenzende Gemeinden,"['2019-11-18', '08:58:04.460372']",cc-zero
59,3D-Blockmodell LoD1,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_3d_blockmodell_lod1,Laufende Nachführung,['vierzehntaeglich'],Stadt Zürich,"['2020-06-09', '08:54:03.675175']",cc-zero
60,Einzelbauten und Einzelanlagen,"Baubewilligungen Abteilung 2, Amt für Baubewilligungen, Hochbaudepartement",geo_einzelbauten_und_einzelanlagen,Laufende Nachführung,['woechentlich'],Stadt Zürich,"['2019-11-18', '09:12:24.065968']",cc-zero
61,Öffentliche Beleuchtung der Stadt Zürich,"A, ewz, Elektrizitätswerk der Stadt Zürich, Departement der Industriellen Betriebe",geo_oeffentliche_beleuchtung_der_stadt_zuerich,Laufende Nachführung,['woechentlich'],Stadt Zürich,"['2019-11-18', '08:55:57.143749']",cc-zero
62,"Monatliche Menge Abfall, Reststoff und Energie (Wärme- und Stromabgabe)","Kehrichtheizkraftwerk Hagenholz, Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_abfallmenge_energie_khkw,2020-Vormonat,['monatlich'],Stadt Zürich,"['2021-08-10', '14:17:38.485224']",cc-zero
63,Behandelte Abwassermenge im Klärwerk Werdhölzli in m3/d,"Klärwerk Werdhölzli, Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_abwassermenge_klaerwerk_werdhoelzli,2020-Vormonat,['monatlich'],Stadt Zürich,"['2021-08-10', '14:17:25.443690']",cc-zero
64,Zuständigkeiten Wasserbau (OGD) (kantonaler Datensatz),"Abteilung Wasserbau, Amt für Abfall, Wasser, Energie und Luft, Kanton Zürich",ktzh_zustaendigkeiten_wasserbau__ogd_,05.11.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-11-05', '04:01:41.655456']",cc-zero
65,Flussvermessung (Quer- und Längsprofile) (OGD) (kantonaler Datensatz),"Abteilung Wasserbau, Amt für Abfall, Wasser, Energie und Luft, Kanton Zürich",ktzh_flussvermessung__quer__und_laengsprofile___ogd_,05.11.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-10-28', '03:12:08.547833']",cc-zero
66,Baugrundarchiv,"Dokumentationsstelle Bauprojekte, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_baugrundarchiv,Laufende Nachführung,['halbjaehrlich'],Stadt Zürich,"['2019-11-18', '09:18:56.545404']",cc-zero
67,Wohnungssaldo nach Umbau und Umbaukategorie seit 2015,"Statistik Stadt Zürich, Präsidialdepartement",bau_whg_bestand_umbau_umbaukat_ea_zizahlkat_kreis_saldo_jahr_od5102,2015-2020,['jaehrlich'],Stadt Zürich,"['2021-11-08', '13:16:43.663020']",cc-zero
68,"Median-Vermögen steuerpflichtiger natürlicher Personen nach Jahr, Steuertarif und Stadtquartier.","Steueramt, Finanzdepartement",fd_median_vermoegen_quartier_od1004,1999-2018,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:23.515283']",cc-zero
69,"Median-Einkommen steuerpflichtiger natürlicher Personen nach Jahr, Steuertarif und Stadtquartier.","Steueramt, Finanzdepartement",fd_median_einkommen_quartier_od1003,1999-2018,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:53.588052']",cc-zero
70,"Median-Vermögen steuerpflichtiger natürlicher Personen nach Jahr, Steuertarif und Stadtkreis.","Steueramt, Finanzdepartement",fd_median_vermoegen_kreis_od1008,1999-2018,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:27:01.610510']",cc-zero
71,Wohnungssaldo durch Umbau seit 2015,"Statistik Stadt Zürich, Präsidialdepartement",bau_whg_bestand_umbau_ea_zizahlkat_kreis_saldo_jahr_od5101,2015-2020,['jaehrlich'],Stadt Zürich,"['2021-11-08', '13:16:46.879726']",cc-zero
72,"Median-Einkommen steuerpflichtiger natürlicher Personen nach Jahr, Steuertarif und Stadtkreis.","Steueramt, Finanzdepartement",fd_median_einkommen_kreis_od1007,1999-2018,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:36:33.221968']",cc-zero
73,Arealüberbauungen,"Baubewilligungen Abteilung 2, Amt für Baubewilligungen, Hochbaudepartement",geo_arealueberbauungen,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2020-12-15', '03:02:38.481390']",cc-zero
74,Stromnetzgebiete (OGD) (kantonaler Datensatz),"Abteilung Energie, Amt für Abfall, Wasser, Energie und Luft, Kanton Zürich",ktzh_stromnetzgebiete__ogd_,02.11.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-10-28', '03:06:43.103628']",cc-zero
75,Zweiradparkierung,"Stab, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_zweiradparkierung,Laufende Nachführung,['jaehrlich'],Stadt Zürich,"['2019-11-18', '09:03:00.231797']",cc-zero
76,"Eheschliessung nach Nationalität der Eheschliessenden, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_ehe_nationalitaet_od3305,1993–2020,['jaehrlich'],Stadt Zürich,"['2021-05-20', '18:46:09.076790']",cc-zero
77,"Eheschliessung nach Herkunft der Eheschliessenden, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_ehe_herkunft_od3301,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:06.579839']",cc-zero
78,"Durchschnittliches Alter bei der ersten Eintragung einer Partnerschaft, nach Geschlecht, seit 2014","Bevölkerungsamt, Präsidialdepartement",bev_partnerschaft_avg-alter_geschl_seit2014_od3322,2014–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:57.280964']",cc-zero
79,"Eheschliessungen und Ehescheidungen, seit 1934","Bevölkerungsamt, Präsidialdepartement",bev_ehe_scheidung_seit1934_od3300,1934–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:24:06.374661']",cc-zero
80,"Eintragung und Auflösung von Partnerschaften nach Geschlecht, seit 2014","Bevölkerungsamt, Präsidialdepartement",bev_partnerschaft_geschlecht_seit2014_od3320,2014–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:40.601804']",cc-zero
81,"Durchschnittliches Alter bei der Erstheirat, nach Geschlecht, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_ehe_avg-alter_geschlecht_od3302,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:33:32.869967']",cc-zero
82,"Eintragung von Partnerschaften nach Geschlecht und Herkunft, seit 2014","Bevölkerungsamt, Präsidialdepartement",bev_partnerschaft_geschlecht_herkunft_seit2014_od3321,2014–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:35:12.953665']",cc-zero
83,"Ehescheidungen nach Zahl minderjähriger Kinder, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_scheidungen_anz_miderjaehrige_kinder_od3304,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-11-04', '17:22:29.499572']",cc-zero
84,Purzelbaum,"Projekte, Schulgesundheitsdienste, Schul- und Sportdepartement",geo_purzelbaum,Laufende Nachführung,['woechentlich'],Stadt Zürich,"['2019-11-18', '09:01:02.789723']",cc-zero
85,VBZ-Infrastruktur OGD,"Programmleitung BIM/GIS, Verkehrsbetriebe, Departement der Industriellen Betriebe",geo_vbz_infrastruktur_ogd,Laufende Nachführung,['woechentlich'],Stadt Zürich,"['2019-11-18', '09:18:41.431585']",cc-zero
86,"Bevölkerung nach Bildungsstand, Jahr und Aufenthaltsart seit 2010","Sektion Bevölkerung, Bundesamt für Statistik",bfs_bev_bildungsstand_jahr_aufenthaltsart_od1007,2010–2019,['jaehrlich'],Stadt Zürich,"['2021-10-25', '18:46:41.132062']",cc-zero
87,Kunstbauteninventar,"Kunstbauten + Objektmanagement, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_kunstbauteninventar,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '08:58:12.529012']",cc-zero
88,Quartierpläne,"Arealentwicklung & Immobilienökonomie, Amt für Städtebau, Hochbaudepartement",geo_quartierplaene,Laufende Nachführung,['monatlich'],Stadt Zürich,"['2019-11-18', '08:58:19.445003']",cc-zero
89,Erlaubte Fahrtrichtungen,"Recht+Qualität, Dienstabteilung Verkehr, Sicherheitsdepartement",geo_erlaubte_fahrtrichtungen,Laufende Nachführung,['vierzehntaeglich'],Stadt Zürich,"['2021-10-08', '02:12:37.249442']",cc-zero
90,Verkehrszonen,"Recht+Qualität, Dienstabteilung Verkehr, Sicherheitsdepartement",geo_verkehrszonen,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-20', '03:02:50.492254']",cc-zero
91,Historische Dorfkerne,"Stadtarchäologie, Amt für Städtebau, Hochbaudepartement",geo_historische_dorfkerne,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:05:13.077581']",cc-zero
92,"Bevölkerung nach Zivilstand, Geschlecht, Alter und Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_quartier_zivilstand_ag_geschl_od3310,1993-2020,['jaehrlich'],Stadt Zürich,"['2021-10-08', '06:19:12.126278']",cc-zero
93,"Abstimmungsresultate der Stadt Zürich, seit 1933","Statistik Stadt Zürich, Präsidialdepartement",politik-abstimmungen-seit-1933,seit 1933,['sporadisch oder unregelmaessig'],"Stadt Zürich, Kanton Zürich, Schweiz ","['2015-07-08', '13:31:03.092715']",cc-zero
94,Wohnungsbestand und Personenzahl in Gebäuden nach Statistischer Zone seit 2008,"Statistik Stadt Zürich, Präsidialdepartement",bau_best_whg_geb_gebmwhg_wfl_pers_statzone_jahr_od6981,2008-2020,['jaehrlich'],Stadt Zürich,"['2021-06-28', '18:46:49.412631']",cc-zero
95,Feuerwehrstellflächen,"Einsatzplanung, Schutz & Rettung, Sicherheitsdepartement",geo_feuerwehrstellflaechen,Laufende Nachführung,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2020-11-14', '03:02:58.655289']",cc-zero
