,name,adresse,plz,ort,geometry
0,Gästeappartement Alterszentrum Mittelleimbach,Leimbachstrasse 210,8041,Zürich,POINT (8.514969000000001 47.325973)
1,Alterszentrum Stampfenbach,Lindenbachstrasse 1,8006,Zürich,POINT (8.538981 47.386905)
2,Temporäres Alterszentrum Triemli,Birmensdorferstrasse 489,8055,Zürich,POINT (8.497166999999999 47.367569)
3,Alterszentrum Laubegg,Hegianwandweg 16,8045,Zürich,POINT (8.513481000000001 47.357794)
5,Alterszentrum Klus Park,Asylstrasse 130,8032,Zürich,POINT (8.564567 47.364791)
6,Alterszentrum Balderen,Klebestrasse 2,8041,Zürich,POINT (8.512981999999999 47.326504)
7,Alterszentrum Mittelleimbach,Leimbachstrasse 210,8041,Zürich,POINT (8.514981000000001 47.32598)
8,Alterszentrum Langgrüt,Langgrütstrasse 51,8047,Zürich,POINT (8.499675999999999 47.372557)
10,Alterszentrum Bullinger-Hardau,Bullingerstrasse 69,8004,Zürich,POINT (8.510546 47.381038)
11,Alterszentrum Bürgerasyl-Pfrundhaus,Leonhardstrasse 18,8001,Zürich,POINT (8.545999999999999 47.377328)
12,Alterszentrum Doldertal,Ebelstrasse 29,8032,Zürich,POINT (8.566546000000001 47.374496)
13,Alterszentrum Dorflinde,Dorflindenstrasse 4,8050,Zürich,POINT (8.549512 47.407959)
14,Alterszentrum Grünau,Bändlistrasse 10,8064,Zürich,POINT (8.490017999999999 47.395167)
15,Alterszentrum Hardau,Norastrasse 38,8004,Zürich,POINT (8.5091 47.381591)
16,Alterszentrum Limmat,Limmatstrasse 186,8005,Zürich,POINT (8.530080999999999 47.386926)
17,Alterszentrum Mathysweg,Birmensdorferstrasse 489,8055,Zürich,POINT (8.497166999999999 47.367569)
18,Alterszentrum Oberstrass,Langensteinenstrasse 40,8057,Zürich,POINT (8.547134 47.393653)
19,Alterszentrum Herzogenmühle,Glattstegweg 7,8051,Zürich,POINT (8.573823000000001 47.407149)
20,Alterszentrum Selnau,Selnaustrasse 18,8001,Zürich,POINT (8.532614000000001 47.37035)
21,Alterszentrum Sydefädeli,Hönggerstrasse 119,8037,Zürich,POINT (8.517761 47.39537)
23,Alterszentrum Wildbach,Wildbachstrasse 11,8008,Zürich,POINT (8.557153 47.357226)
24,Alterszentrum Trotte,Nordstrasse 349 (freig.),8037,Zürich,POINT (8.519028 47.396403)
25,Alterszentrum Kalchbühl (Wollishofen),Kalchbühlstrasse 118,8038,Zürich,POINT (8.534556 47.334676)
